festival_dates,fest
27/03/2013,Gudi Padwa
09/08/2013,Id-ul-Fitar
09/09/2013,Ganesh Chaturthi
13/10/2013,Dasara
16/10/2013,Bakri Id
03/11/2013,Diwali
31/03/2014,Gudi Padwa
29/07/2014,Id-ul-Fitar
29/08/2014,Ganesh Chaturthi
03/10/2014,Dasara
06/10/2014,Bakri Id
23/10/2014,Diwali
21/03/2015,Gudi Padwa
18/07/2015,Id-ul-Fitar
17/09/2015,Ganesh Chaturthi
25/09/2015,Bakri Id
22/10/2015,Dasara
11/11/2015,Diwali
08/04/2016,Gudi Padwa
06/07/2016,Id-ul-Fitar
05/09/2016,Ganesh Chaturthi
13/09/2016,Bakri Id
11/10/2016,Dasara
30/10/2016,Diwali
28/03/2017,Gudi Padwa
26/06/2017,Id-ul-Fitar
25/08/2017,Ganesh Chaturthi
02/09/2017,Bakri Id
30/09/2017,Dasara
19/10/2017,Diwali
18/03/2018,Gudi Padwa
16/06/2018,Id-ul-Fitar
22/08/2018,Bakri Id
13/09/2018,Ganesh Chaturthi
18/10/2018,Dasara
07/11/2018,Diwali
06/04/2019,Gudi Padwa
05/06/2019,Id-ul-Fitar
12/08/2019,Bakri Id
02/09/2019,Ganesh Chaturthi
08/10/2019,Dasara
27/10/2019,Diwali
25/03/2020,Gudi Padwa
25/05/2020,Id-ul-Fitar
01/08/2020,Bakri Id
22/08/2020,Ganesh Chaturthi
25/10/2020,Dasara
14/11/2020,Diwali
13/04/2021,Gudi Padwa
13/05/2021,Id-ul-Fitar
21/07/2021,Bakri Id
10/09/2021,Ganesh Chaturthi
15/10/2021,Dasara
04/11/2021,Diwali
02/04/2022,Gudi Padwa
03/05/2022,Id-ul-Fitar
10/07/2022,Bakri Id
31/08/2022,Ganesh Chaturthi
05/10/2022,Dasara
24/10/2022,Diwali
22/03/2023,Gudi Padwa
22/04/2023,Id-ul-Fitar
29/06/2023,Bakri Id
19/09/2023,Ganesh Chaturthi
24/10/2023,Dasara
12/11/2023,Diwali
09/04/2024,Gudi Padwa
11/04/2024,Id-ul-Fitar
17/06/2024,Bakri Id
07/09/2024,Ganesh Chaturthi
12/10/2024,Dasara
31/10/2024,Diwali
30/03/2025,Gudi Padwa
31/03/2025,Id-ul-Fitar
07/06/2025,Bakri Id
27/08/2025,Ganesh Chaturthi
02/10/2025,Dasara
21/10/2025,Diwali
